query,link
self assessment,/log-in-file-self-assessment-tax-return
personal tax account,/personal-tax-account
self assessment,/self-assessment-tax-returns
sign in,/log-in-register-hmrc-online-services
hmrc,/log-in-register-hmrc-online-services
gateway,/log-in-register-hmrc-online-services
tax return,/self-assessment-tax-returns
log in,/log-in-register-hmrc-online-services
self assesment,/log-in-file-self-assessment-tax-return
utr,/find-utr-number
login,/log-in-register-hmrc-online-services
government gateway,/log-in-register-hmrc-online-services
tax,/log-in-register-hmrc-online-services
tax,/log-in-file-self-assessment-tax-return
sa100,/self-assessment-tax-return-forms
tax return,/log-in-file-self-assessment-tax-return
personal tax,/log-in-register-hmrc-online-services
self assessment,/pay-self-assessment-tax-bill
pta,/personal-tax-account
self assessment,/log-in-register-hmrc-online-services
utr number,/find-utr-number
self assesment,/self-assessment-tax-returns
hmrc sign in,/log-in-register-hmrc-online-services
tax refund,/claim-tax-refund
self assessment tax return,/log-in-file-self-assessment-tax-return
self,/log-in-file-self-assessment-tax-return
pay self assessment,/pay-self-assessment-tax-bill
personal tax,/personal-tax-account
tax rebate,/claim-tax-refund
register for self assessment,/register-for-self-assessment
sa1,/guidance/register-for-self-assessment-if-you-are-not-self-employed
pay tax,/pay-self-assessment-tax-bill
tax account,/log-in-register-hmrc-online-services
hmrc login,/log-in-register-hmrc-online-services
personal tax account,/log-in-register-hmrc-online-services
paying hmrc,/pay-tax-debit-credit-card
register for self assessment,/guidance/register-for-self-assessment-if-you-are-not-self-employed
contact hmrc,/government/organisations/hm-revenue-customs/contact/self-assessment
tell hmrc about underpaid tax from previous years,/guidance/tell-hmrc-about-underpaid-tax-from-previous-years
sa100,/government/publications/self-assessment-tax-return-sa100
hmrc services,/log-in-register-hmrc-online-services
64-8,/government/publications/tax-agents-and-advisers-authorising-your-agent-64-8
tax,/self-assessment-tax-returns
self assessment login,/log-in-file-self-assessment-tax-return
